"","accession","species","genus","family","source","accession.version","taxid"
"1","NC_000927","Nephroselmis olivacea","Nephroselmis","Nephroselmidaceae","full","NC_000927.1",31312
"2","NC_000932","Arabidopsis thaliana","Arabidopsis","Brassicaceae","all","NC_000932.1",3702
"3","NC_001319","Marchantia paleacea","Marchantia","Marchantiaceae","full","NC_001319.1",56867
"4","NC_001568","Epifagus virginiana","Epifagus","Orobanchaceae","full","NC_001568.1",4177
"5","NC_001631","Pinus thunbergii","Pinus","Pinaceae","all","NC_001631.1",3350
"6","NC_001666","Zea mays","Zea","Poaceae","all","NC_001666.2",4577
"7","NC_001865","Chlorella vulgaris","Chlorella","Chlorellaceae","full+trnL","NC_001865.1",3077
"8","NC_002186","Mesostigma viride","Mesostigma","Mesostigmataceae","full","NC_002186.1",41882
"9","NC_002694","Lotus japonicus","Lotus","Fabaceae","full+barcode","NC_002694.1",34305
"10","NC_002762","Triticum aestivum","Triticum","Poaceae","all","NC_002762.1",4565
"11","NC_003119","Medicago truncatula","Medicago","Fabaceae","full+trnL","NC_003119.8",3880
"12","NC_003386","Psilotum nudum","Psilotum","Psilotaceae","full+trnL","NC_003386.1",3240
"13","NC_004115","Chaetosphaeridium globosum","Chaetosphaeridium","Chaetosphaeridiaceae","full+trnL","NC_004115.1",96477
"14","NC_004543","Anthoceros angustus","Anthoceros","Anthocerotaceae","full+trnL","NC_004543.1",48387
"15","NC_004561","Atropa belladonna","Atropa","Solanaceae","full+barcode","NC_004561.1",33113
"16","NC_004677","Pinus koraiensis","Pinus","Pinaceae","all","NC_004677.2",88728
"17","NC_004766","Adiantum capillus-veneris","Adiantum","Pteridaceae","all","NC_004766.1",13818
"18","NC_004993","Calycanthus floridus","Calycanthus","Calycanthaceae","all","NC_004993.1",212734
"19","NC_005086","Amborella trichopoda","Amborella","Amborellaceae","full+barcode","NC_005086.1",13333
"20","NC_005353","Chlamydomonas reinhardtii","Chlamydomonas","Chlamydomonadaceae","full","NC_005353.1",3055
"21","NC_005878","Saccharum hybrid cultivar","Saccharum","Poaceae","all","NC_005878.2",193079
"22","NC_005973","Oryza sativa","Oryza","Poaceae","full+barcode","NC_005973.1",2998809
"23","NC_006050","Nymphaea alba","Nymphaea","Nymphaeaceae","full+barcode","NC_006050.1",34301
"24","NC_006084","Saccharum hybrid cultivar","Saccharum","Poaceae","all","NC_006084.1",717233
"25","NC_006290","Panax ginseng","Panax","Araliaceae","full+barcode","NC_006290.1",4054
"26","NC_006861","Huperzia lucidula","Huperzia","Lycopodiaceae","full+trnL","NC_006861.1",37429
"27","NC_007144","Cucumis sativus","Cucumis","Cucurbitaceae","full+trnL","NC_007144.1",3659
"28","NC_007499","Phalaenopsis aphrodite","Phalaenopsis","Orchidaceae","full+barcode","NC_007499.1",308872
"29","NC_007500","Nicotiana sylvestris","Nicotiana","Solanaceae","all","NC_007500.1",4096
"30","NC_007578","Lactuca sativa","Lactuca","Asteraceae","full+trnL","NC_007578.1",4236
"31","NC_007602","Nicotiana tomentosiformis","Nicotiana","Solanaceae","all","NC_007602.1",4098
"32","NC_007898","Solanum lycopersicum","Solanum","Solanaceae","full+barcode","NC_007898.3",4081
"33","NC_007942","Glycine max","Glycine","Fabaceae","all","NC_007942.1",3847
"34","NC_007943","Solanum bulbocastanum","Solanum","Solanaceae","full+barcode","NC_007943.1",147425
"35","NC_007944","Gossypium hirsutum","Gossypium","Malvaceae","all","NC_007944.1",3635
"36","NC_007957","Vitis vinifera","Vitis","Vitaceae","all","NC_007957.1",29760
"37","NC_007977","Helianthus annuus","Helianthus","Asteraceae","full+barcode","NC_007977.1",4232
"38","NC_008096","Solanum tuberosum","Solanum","Solanaceae","full+barcode","NC_008096.2",4113
"39","NC_008097","Chara vulgaris","Chara","Characeae","full+trnL","NC_008097.1",55564
"40","NC_008099","Oltmannsiellopsis viridis","Oltmannsiellopsis","Oltmannsiellopsidaceae","full","NC_008099.1",51324
"41","NC_008101","Tetradesmus obliquus","Tetradesmus","Scenedesmaceae","full+trnL","NC_008101.1",3088
"42","NC_008114","Tupiella akineta","Tupiella","Tupiellaceae","full","NC_008114.1",160070
"43","NC_008115","Eucalyptus globulus","Eucalyptus","Myrtaceae","full+barcode","NC_008115.1",71271
"44","NC_008116","Staurastrum punctulatum","Staurastrum","Desmidiaceae","full+trnL","NC_008116.1",102822
"45","NC_008117","Zygnema circumcarinatum","Zygnema","Zygnemataceae","full+trnL","NC_008117.1",35869
"46","NC_008155","Oryza sativa","Oryza","Poaceae","full+barcode","NC_008155.1",39946
"47","NC_008235","Populus alba","Populus","Salicaceae","all","NC_008235.1",43335
"48","NC_008289","Ostreococcus tauri","Ostreococcus","Bathycoccaceae","full","NC_008289.1",70448
"49","NC_008325","Daucus carota","Daucus","Apiaceae","full+barcode","NC_008325.1",4039
"50","NC_008326","Liriodendron tulipifera","Liriodendron","Magnoliaceae","all","NC_008326.1",3415
"51","NC_008334","Citrus sinensis","Citrus","Rutaceae","full+barcode","NC_008334.1",2711
"52","NC_008335","Platanus occidentalis","Platanus","Platanaceae","all","NC_008335.1",4403
"53","NC_008336","Nandina domestica","Nandina","Berberidaceae","full+trnL","NC_008336.1",41776
"54","NC_008359","Morus indica","Morus","Moraceae","full+barcode","NC_008359.1",248361
"55","NC_008372","Stigeoclonium helveticum","Stigeoclonium","Chaetophoraceae","full+trnL","NC_008372.1",55999
"56","NC_008407","Jasminum nudiflorum","Jasminum","Oleaceae","full+barcode","NC_008407.1",126431
"57","NC_008454","Pelargonium x hortorum","Pelargonium","Geraniaceae","full+trnL","NC_008454.1",4031
"58","NC_008456","Drimys granadensis","Drimys","Winteraceae","full+barcode","NC_008456.1",224735
"59","NC_008457","Piper cenocladum","Piper","Piperaceae","all","NC_008457.1",398741
"60","NC_008535","Coffea arabica","Coffea","Rubiaceae","full+barcode","NC_008535.1",13443
"61","NC_008590","Hordeum vulgare","Hordeum","Poaceae","full+barcode","NC_008590.1",112509
"62","NC_008591","Agrostis stolonifera","Agrostis","Poaceae","all","NC_008591.1",63632
"63","NC_008602","Sorghum bicolor","Sorghum","Poaceae","full+barcode","NC_008602.1",4558
"64","NC_008641","Gossypium barbadense","Gossypium","Malvaceae","all","NC_008641.1",3634
"65","NC_008788","Nuphar advena","Nuphar","Nymphaeaceae","all","NC_008788.1",77108
"66","NC_008796","Ranunculus macranthus","Ranunculus","Ranunculaceae","all","NC_008796.1",334596
"67","NC_008822","Chlorokybus atmophyticus","Chlorokybus","Chlorokybaceae","full+trnL","NC_008822.1",3144
"68","NC_008829","Angiopteris evecta","Angiopteris","Marattiaceae","full","NC_008829.1",13825
"69","NC_009143","Populus trichocarpa","Populus","Salicaceae","full+barcode","NC_009143.1",3694
"70","NC_009259","Phaseolus vulgaris","Phaseolus","Fabaceae","full+trnL","NC_009259.1",3885
"71","NC_009265","Aethionema cordifolium","Aethionema","Brassicaceae","all","NC_009265.1",434059
"72","NC_009266","Aethionema grandiflorum","Aethionema","Brassicaceae","all","NC_009266.1",72657
"73","NC_009267","Olimarabidopsis pumila","Olimarabidopsis","Brassicaceae","all","NC_009267.1",74718
"74","NC_009268","Arabis hirsuta","Arabis","Brassicaceae","all","NC_009268.1",78191
"75","NC_009269","Barbarea verna","Barbarea","Brassicaceae","all","NC_009269.1",50458
"76","NC_009270","Capsella bursa-pastoris","Capsella","Brassicaceae","all","NC_009270.1",3719
"77","NC_009271","Crucihimalaya wallichii","Crucihimalaya","Brassicaceae","all","NC_009271.1",78192
"78","NC_009272","Draba nemorosa","Draba","Brassicaceae","all","NC_009272.1",171822
"79","NC_009273","Lepidium virginicum","Lepidium","Brassicaceae","all","NC_009273.1",59292
"80","NC_009274","Lobularia maritima","Lobularia","Brassicaceae","all","NC_009274.1",226051
"81","NC_009275","Nasturtium officinale","Nasturtium","Brassicaceae","all","NC_009275.1",65948
"82","NC_009598","Chloranthus spicatus","Chloranthus","Chloranthaceae","all","NC_009598.1",13006
"83","NC_009599","Buxus microphylla","Buxus","Buxaceae","full+barcode","NC_009599.1",153571
"84","NC_009600","Illicium oligandrum","Illicium","Schisandraceae","all","NC_009600.1",145286
"85","NC_009601","Dioscorea elephantipes","Dioscorea","Dioscoreaceae","full+trnL","NC_009601.1",145284
"86","NC_009618","Cycas taitungensis","Cycas","Cycadaceae","full+trnL","NC_009618.1",54799
"87","NC_009681","Pleurastrum terricola","Pleurastrum","Pleurastraceae","full+trnL","NC_009681.1",34116
"88","NC_009765","Cuscuta gronovii","Cuscuta","Convolvulaceae","full","NC_009765.1",35886
"89","NC_009766","Cuscuta reflexa","Cuscuta","Convolvulaceae","full","NC_009766.1",4129
"90","NC_009808","Ipomoea purpurea","Ipomoea","Convolvulaceae","full+barcode","NC_009808.1",4121
"91","NC_009949","Cuscuta obtusiflora","Cuscuta","Convolvulaceae","full","NC_009949.1",437280
"92","NC_009950","Lolium perenne","Lolium","Poaceae","all","NC_009950.1",4522
"93","NC_009962","Ceratophyllum demersum","Ceratophyllum","Ceratophyllaceae","all","NC_009962.1",4428
"94","NC_009963","Cuscuta exaltata","Cuscuta","Convolvulaceae","full+trnL","NC_009963.1",476139
"95","NC_010093","Acorus calamus","Acorus","Acoraceae","all","NC_010093.1",263995
"96","NC_010109","Lemna minor","Lemna","Araceae","full","NC_010109.1",4472
"97","NC_010323","Carica papaya","Carica","Caricaceae","all","NC_010323.1",3649
"98","NC_010358","Oenothera argillicola","Oenothera","Onagraceae","all","NC_010358.2",3940
"99","NC_010359","Aneura mirabilis","Aneura","Aneuraceae","full+trnL","NC_010359.1",280810
"100","NC_010360","Oenothera glazioviana","Oenothera","Onagraceae","all","NC_010360.2",482428
"101","NC_010361","Oenothera biennis","Oenothera","Onagraceae","all","NC_010361.1",3942
"102","NC_010362","Oenothera parviflora","Oenothera","Onagraceae","all","NC_010362.1",482429
"103","NC_010433","Manihot esculenta","Manihot","Euphorbiaceae","full+barcode","NC_010433.1",3983
"104","NC_010442","Trachelium caeruleum","Trachelium","Campanulaceae","all","NC_010442.1",28494
"105","NC_010548","Cryptomeria japonica","Cryptomeria","Cupressaceae","full+barcode","NC_010548.1",3369
"106","NC_010601","Guizotia abyssinica","Guizotia","Asteraceae","all","NC_010601.1",4230
"107","NC_010654","Welwitschia mirabilis","Welwitschia","Welwitschiaceae","all","NC_010654.1",3377
"108","NC_010776","Fagopyrum esculentum","Fagopyrum","Polygonaceae","all","NC_010776.1",180217
"109","NC_011031","Oedogonium cardiacum","Oedogonium","Oedogoniaceae","full+trnL","NC_011031.1",55995
"110","NC_011032","Brachypodium distachyon","Brachypodium","Poaceae","all","NC_011032.1",15368
"111","NC_011152","Picea sitchensis","Picea","Pinaceae","full+barcode","NC_011152.3",3332
"112","NC_011153","Pinus contorta","Pinus","Pinaceae","all","NC_011153.4",3339
"113","NC_011154","Pinus gerardiana","Pinus","Pinaceae","all","NC_011154.4",71632
"114","NC_011155","Pinus krempfii","Pinus","Pinaceae","all","NC_011155.4",3342
"115","NC_011156","Pinus lambertiana","Pinus","Pinaceae","all","NC_011156.4",3343
"116","NC_011158","Pinus monophylla","Pinus","Pinaceae","all","NC_011158.4",151562
"117","NC_011159","Pinus nelsonii","Pinus","Pinaceae","all","NC_011159.4",71643
"118","NC_011163","Cicer arietinum","Cicer","Fabaceae","full+trnL","NC_011163.1",3827
"119","NC_011713","Lolium arundinaceum","Lolium","Poaceae","full+barcode","NC_011713.2",4606
"120","NC_011828","Trifolium subterraneum","Trifolium","Fabaceae","all","NC_011828.1",3900
"121","NC_011930","Keteleeria davidiana","Keteleeria","Pinaceae","all","NC_011930.1",3324
"122","NC_011942","Gnetum parvifolium","Gnetum","Gnetaceae","full+trnL","NC_011942.1",33153
"123","NC_011954","Ephedra equisetina","Ephedra","Ephedraceae","full+trnL","NC_011954.1",173280
"124","NC_012052","Syntrichia ruralis","Syntrichia","Pottiaceae","full+trnL","NC_012052.1",38588
"125","NC_012097","Pycnococcus provasolii","Pycnococcus","Pycnococcaceae","full","NC_012097.1",41880
"126","NC_012099","Pyramimonas parkeae","Pyramimonas","Pyramimonadaceae","full","NC_012099.1",36894
"127","NC_012101","Monomastix sp. OKE-1","Monomastix","Monomastigaceae","full","NC_012101.1",141716
"128","NC_012224","Jatropha curcas","Jatropha","Euphorbiaceae","all","NC_012224.1",180498
"129","NC_012575","Micromonas commoda","Micromonas","Mamiellaceae","full","NC_012575.1",296587
"130","NC_012615","Megaleranthis saniculifolia","Megaleranthis","Ranunculaceae","all","NC_012615.1",93213
"131","NC_012818","Alsophila spinulosa","Alsophila","Cyatheaceae","full+trnL","NC_012818.1",204586
"132","NC_012927","Bambusa oldhamii","Bambusa","Poaceae","full+barcode","NC_012927.1",58923
"133","NC_012978","Parachlorella kessleri","Parachlorella","Chlorellaceae","full+trnL","NC_012978.1",3074
"134","NC_013088","Dendrocalamus latiflorus","Dendrocalamus","Poaceae","all","NC_013088.1",257763
"135","NC_013273","Coix lacryma-jobi","Coix","Poaceae","all","NC_013273.1",4505
"136","NC_013359","Bryopsis hypnoides","Bryopsis","Bryopsidaceae","full+trnL","NC_013359.1",222885
"137","NC_013553","Parthenium argentatum","Parthenium","Asteraceae","full+barcode","NC_013553.1",35935
"138","NC_013707","Olea europaea","Olea","Oleaceae","all","NC_013707.2",4146
"139","NC_013823","Typha latifolia","Typha","Typhaceae","all","NC_013823.1",4733
"140","NC_013843","Vigna radiata","Vigna","Fabaceae","full+trnL","NC_013843.1",157791
"141","NC_013991","Phoenix dactylifera","Phoenix","Arecaceae","all","NC_013991.2",42345
"142","NC_014056","Oncidium hybrid cultivar","Oncidium","Orchidaceae","full+barcode","NC_014056.1",141207
"143","NC_014057","Pisum sativum","Pisum","Fabaceae","all","NC_014057.1",3888
"144","NC_014062","Anomochloa marantoidea","Anomochloa","Poaceae","all","NC_014062.1",38684
"145","NC_014063","Lathyrus sativus","Lathyrus","Fabaceae","all","NC_014063.1",3860
"146","NC_014346","Floydiella terrestris","Floydiella","Chaetopeltidaceae","full","NC_014346.1",51328
"147","NC_014348","Pteridium aquilinum","Pteridium","Dennstaedtiaceae","full+trnL","NC_014348.1",104588
"148","NC_014570","Eucalyptus grandis","Eucalyptus","Myrtaceae","all","NC_014570.1",71139
"149","NC_014575","Cedrus deodara","Cedrus","Pinaceae","all","NC_014575.1",3322
"150","NC_014589","Cathaya argyrophylla","Cathaya","Pinaceae","all","NC_014589.1",64686
"151","NC_014592","Myriopteris lindheimeri","Myriopteris","Pteridaceae","all","NC_014592.1",531291
"152","NC_014674","Castanea mollissima","Castanea","Fagaceae","all","NC_014674.1",60419
"153","NC_014675","Isoetes flaccida","Isoetes","Isoetaceae","full+trnL","NC_014675.1",49763
"154","NC_014676","Theobroma cacao","Theobroma","Malvaceae","all","NC_014676.2",3641
"155","NC_014697","Prunus persica","Prunus","Rosaceae","all","NC_014697.1",3760
"156","NC_014699","Equisetum arvense","Equisetum","Equisetaceae","full+trnL","NC_014699.1",3258
"157","NC_014807","Corynocarpus laevigatus","Corynocarpus","Corynocarpaceae","all","NC_014807.1",4312
"158","NC_015083","Erodium carvifolium","Erodium","Geraniaceae","full+trnL","NC_015083.1",337360
"159","NC_015113","Anthriscus cerefolium","Anthriscus","Apiaceae","all","NC_015113.1",40888
"160","NC_015139","Brassica rapa","Brassica","Brassicaceae","full+barcode","NC_015139.1",51351
"161","NC_015204","Gossypium thurberi","Gossypium","Malvaceae","all","NC_015204.1",34273
